"hotel_id","author","location","rating","date","date_visited","title","text","trip_type","helpful","photos","language","contributions","avatar"
"10066892","Edward H","London, United Kingdom","5","2026-08-22","2026-08-31","Amazing experience on the edge of Little Italy and Chinatown","My family and I stayed in this hotel for 8 nights in August 2026, and we had a fabulous time here. The hotel was in a great location next to Manhattan Bridge, the room was fantastic with unbelievable views uptown (we recommend a city view as high up as possible instead of a bridge view), and the staff were amazing and couldn't have done more for us during our stay. We also enjoyed the rooftop bar on a couple of evenings. All in all I would recommend this hotel 100% to all prospective visitors.","Traveled with family","","","en","1","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg"
"10066892","jjab123 - Jim N","Bellevue, Washington","5","2026-08-18","2026-08-31","Another Great Stay at Hotel 50 Bowery","We had another great stay at Hotel 50 Bowery. The service was excellent from check-in through the end of our stay. Kim from the bell staff was very helpful, and Steven and Jordan at the front desk were outstanding. Our housekeeper also did a wonderful job, although unfortunately I did not get her name.

We had a couple of small issues with the room safe and phone, but the staff responded quickly and took care of everything right away. The hotel is also in a very convenient Chinatown location. We always enjoy staying here and look forward to coming back again.","","1","","en","6","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg"
"10066892","Boris P","","5","2026-08-17","2026-08-31","Great Place to Stay!","The location was great, the room was clean and spacious and the staff was very accommodating! We really enjoyed our stay!","Traveled with family","","","en","7",""
"10066892","afsafs","Noord, Aruba","3","2026-08-16","2026-08-31","Traffic Noise - Room at Front of Building","Avoid rooms facing the front of the hotel. The traffic noise made it very difficult to sleep. I wish I had paid more attention to the noise levels prior to booking. The hotel would be a great option in NYC (large clean rooms) but for the excessive traffic noise.","Traveled with friends","5","","en","8","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg"
"10066892","Laura H","Pittsburgh, Pennsylvania","5","2026-08-16","2026-08-31","All this and a terrace too!","We recently stayed here for 4 nights, and we loved our visit!

Location:
I don't usually stay this far downtown, but we had a party to go to in the area.  It worked out beautifully.  We walked almost everywhere we wanted to go, and train stops were nearby.  

Atmosphere:
The hotel was busy but not crowded, and there were visitors from many different places.  The vibe was relaxed and welcoming.  And we very much appreciated getting water in bottles that were metal, not plastic!

Room:
Wow, much roomier than I expected!  We were in room 812.  Our view was directly onto the Manhattan Bridge entrance, and it was gorgeous.  We had enough space to navigate without bumping into each other.  Good closet with a few little drawers. although not much else in the way of drawer space.  The bed was comfortable, or as much as it ever is for us (we have a very firm mattress at home).  

The bathroom was spacious and I liked having both the rain shower head and the one I could pick up and direct at smaller areas of my body.  I'm glad to see hotels switching to bottles of body wash and so forth, but we're always happy to get hand soap too.  I'd say the bath towels were on the skimpy side, though.

There were enough outlets for our devices, and I really appreciate having a table with drawers next to the bed.  We used the fridge mostly to keep drinks cold.  

Value:
We booked far enough in advance that we were able to get rooms in the $300 a night range, including taxes.  It was a real deal.  

Cleanliness
I always appreciate a hotel that has a recycle bin along with regular trash.  All of the spaces I saw, inside and out, were clean and well maintained.  

Noise level:
We found it to be quite livable.  Nights were fairly quiet given the location, and even in the day, the room kept out most of the street noise.  

Service:
The staff were all helpful and informative.  We interacted most with the breakfast crew, and I want to give special praise to John and the rest of the folks for the warm, welcoming, helpful experience we had with them.  They provided a filling, affordable meal and scrambled eggs to the perfect amount of dryness for my husband.  The fruit cup was generous and a work of art.  They let me hang out for as long as I wanted to and invited me to enjoy the terrace when I was finished with breakfast.  They were just charming and I miss them already!

We didn't have dinner in the restaurant.  But one afternoon, I went up to buy a glass of ginger ale for my husband, who was feeling a little off.  The bartender kindly gave me an icy cold glass and wouldn't let me pay for it.  Nowadays, acts of kindness like hers are in short supply, so many thanks to her!

The 2nd floor terrace was an extraordinary luxury in an NYC hotel.  We spent some time there every day enjoying the view and the sounds of the city.  

The only thing we didn't like was that the elevators are all very dark inside.  Seems like a strange choice for the hotel to make.  But that was a tiny detail in a stay that more than exceeded our expectations.  Looking forward to returning!","Traveled as a couple","62","","en","96","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/36/b0/a0/laurahorowitz.jpg"
"1007724","AMV","pasadena","2","2026-07-09","2026-07-31","No Amenities or Service / Great Location & Roof","This hotel has pros and cons. It could be a good hotel choice if you are ok with the cons. Cons - -After closing the door to our room we discovered that it was unlocked for several minutes before automatically locking. This is a security flaw which we discovered. We waited in the hall until we heard the door lock before leaving. -One tiny quart sized ice maker on a counter in a common area for the entire hotel. This was always empty. -No room service, nobody will come to clean the room or pick up old towels. This is weird because in the room there is a sign that says to put towels on the floor if you want them replaced. -Upon check in, nobody was at the front desk and the front door was locked. It was check in time, but we were stuck on the street. -Front desk was unattended about 25% of the time. -Coffee maker amenities - there was no milk or sugar, just sacks of coffee for the maker -TV Channels were limited, very hard to get even local news for the Today Show which is filmed in NY -Noise, there is a club next door and a food truck that comes each night and people on the street are extremely loud which you can hear from the room. Pros- -This is one of the cheapest hotels that offers a rooftop viewing area. -Rooftop viewing was good for seeing the fireworks on the 4th which is what we wanted. -Room was clean upon check in and the bed was comfortable. -Good location, lots of restaurants and stores in the area.","Traveled as a couple","12","[{""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/ce/63/07/caption.jpg"", ""caption"": ""View of Fireworks from the roof on the 4th of July"", ""photo_id"": ""869163783""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/ce/63/46/caption.jpg"", ""caption"": ""View from Roof"", ""photo_id"": ""869163846""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/ce/63/b3/caption.jpg"", ""caption"": ""One little ice maker for the entire hotel"", ""photo_id"": ""869163955""}]","en","32","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg"
"1007724","Companion02230559701","","5","2026-01-19","2026-01-31","it was a awesome experience lead by the ridge hotel","everything is good here...
food quality is delicious..
and behaviour of the stuffs are way beyond imagination...
so in a nutshell at this price.. it is best of the best","Traveled with friends","","","en","1","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg"
"1007724","Wredcedar","","1","2025-10-19","2025-10-31","Worst room ever, and I have travelled all but 2 continents in my 73 years.","I don’t ever write negative reviews but the incredibly bad experience we just had at The Ridge demands that I spare other tourists the nightmare.  I checked in early and left our bags at front desk.  Returned at normal check in time and our bags were waiting for us in the tiniest room, adjacent to the entry lobby and side exterior exit door, which also housed a coffee machine for every guest to bang around as they gossiped outside the door to our room.   Every guest returning to hotel into the wee hours, and every guest checking out in the early morning had no idea that our room was right there, around the corner.  Had they known, I trust that some effort might have been made to moderate their festive volume.   My disappointment is that I was not informed in advance of this nightmare of claustrophobia, and as I mentioned, I arrived 3 hours before check in, so I definitely was not the last guest checking in.   Never again.   Spare yourself a similar experience.","Traveled as a couple","1","","en","6","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg"
"1007724","Odyssey213722","","1","2025-10-01","2025-09-30","Don't do it............","I passed by the hotel and there were junkies on the stoop. 
I would not feel safe staying here solo.
 There is no attendant. 
I canceled 2 days in advance and was still charged for the room.
THIS IS A CONTACTLESS HOTEL and no one will help you.
Would not recommend","Traveled solo","","","en","1","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg"
"1007724","Taylor B","","1","2025-09-30","2025-08-31","The WORST hotel experience I have ever had","The WORST hotel experience I have ever had. The Ridge hotel is an absolute scam. I booked and paid for a king-sized room, and after traveling 12 hours, they overbooked and tried to sneak me into a tiny, filthy double room without saying a word. The room was so cramped you could barely walk around the bed, it was dirty, and it looked nothing like the photos advertised. When I confronted the front desk that it clearly wasn’t the King room we purchased, they admitted the lie and promised a refund. We had no choice but to accept the tiny room, or sleep on the street. I showed them grace and trusted that the refund (at least for the difference in rooms) would come, but it didn’t.
For almost two months, the owner dodged my calls and refused to take responsibility. I was finally forced to go through Expedia just to claw back a partial refund, because the hotel itself did absolutely nothing.
This was no more than a bait and switch scam. The Ridge Hotel is dishonest, dirty, and run by people who have no respect for their guests. 
Shout out to Jasmine at the front desk who at least tried to be helpful.  Stay literally anywhere else <3","Traveled with friends","2","","en","4","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg"
